'sample interval','RESP'
'0.008 sec','pm'
1936,0.797
1937,0.763
1938,0.729
1939,0.699
1940,0.667
1941,0.638
1942,0.611
1943,0.582
1944,0.555
1945,0.526
1946,0.499
1947,0.474
1948,0.450
1949,0.428
1950,0.403
1951,0.381
1952,0.357
1953,0.333
1954,0.308
1955,0.284
1956,0.262
1957,0.240
1958,0.215
1959,0.196
1960,0.176
1961,0.159
1962,0.144
1963,0.127
1964,0.110
1965,0.095
1966,0.078
1967,0.066
1968,0.051
1969,0.042
1970,0.029
1971,0.020
1972,0.010
1973,0.000
1974,-0.007
1975,-0.015
1976,-0.020
1977,-0.022
1978,-0.024
1979,-0.024
1980,-0.024
1981,-0.022
1982,-0.020
1983,-0.012
1984,-0.005
1985,0.005
1986,0.015
1987,0.027
1988,0.039
1989,0.051
1990,0.066
1991,0.083
1992,0.103
1993,0.125
1994,0.147
1995,0.176
1996,0.205
1997,0.240
1998,0.271
1999,0.306
2000,0.337
2001,0.372
2002,0.403
2003,0.443
2004,0.479
2005,0.521
2006,0.562
2007,0.601
2008,0.638
2009,0.672
2010,0.707
2011,0.738
